HolderAddress,Balance in DRC
0x846db8bce6bbca4b23e3eadc09ff65cfd16c3c7c,2002
0xf98aee2ecf3180c8637b76fe12367b714e761d28,2001
0x7b7be74d715d8b04e5091a513483442505991a64,2000
0x2e6ddaa78c3db7bef53a65d4921a088d17b15f92,2000
0xe340e51ae9873a2986690b008cc9162ca39633fe,2000
0xe6e715dd90a8a2cb60c84cd0182a5da794e02f9c,2000
0xf9cb3669dd3b922ccdeb82918c9f400883fd20c0,2000
0x6b707391c60d50e4e414a143446c0b8ef9a2d1c4,1991
0x26f365421182c132d5c7f305f3fd402486fedcb5,1969
0x69c1240100ef812c6cadd4bdc02ad00473862d6a,1961
0xa238e31cd42ff4c35a96364fd2b427e50e0b5e4d,1957
0x7db5d398d3e9b1d0b1d119e53af3e03164637ed5,1956
0xda13e8e4f3b38c4548d213e88cb180617da49ee6,1938
0xa87bc15353203f00c9510132a52916d28b871a00,1933
0x7e181c14ee343fdd335bf9758ef307ee49125095,1894
0xead7c342b6aa9142e39e7b345f1e493c6c6a8bd5,1893
0x3e31e2822de54f316e5e8c8c17d52a41b5c9faaa,1879
0x8f037e2ce8abf66c881bf164fd1d105e35541ab8,1878
0xcf8064f59f4be92d81ebd7ad5f3fe6c645738045,1873
0xf42edde725e75621257985348b037baced2c5126,1855
0x61b7ed8090de879cfdfdcd552cc5d4f9cc86055c,1847
0x1f856f88db11ca5634a8a524e8f5e1c9f04c9fc7,1842
0x974678f5aff73bf7b5a157883840d752d01f1973,1811
0xe17e33e68da625fc10b215aac98423b19ac44779,1808
0x42f6dc60bb885043fed4e2b4a53d4fa5de5b036a,1795
0x46f2177e79fb15a0829135c32d082dd6a5173c20,1775
0xa4ff154a700e188961730ddb28d3f5dede032a11,1774
0x27dfa6ba1dd770a675791c528d0346885cee982f,1772
0x41a160b1f8b42c82cc0d3a1ba84be2fcceae1b72,1761
